frame,x,y,area,aspect_ratio,solidity
0,520,1193,114.0,1.0769230769230769,0.8769230769230769
0,194,1187,217.0,1.2666666666666666,0.9455337690631809
0,174,1177,197.5,1.2142857142857142,0.9729064039408867
0,462,1164,181.0,1.0,0.9679144385026738
0,367,1161,171.0,1.2307692307692308,0.9688385269121813
0,1030,1156,171.5,1.0714285714285714,0.9634831460674157
0,948,1154,216.0,1.5000001370810563,0.9452954048140044
0,919,1153,198.0,1.2142857142857142,0.9705882352941176
0,275,1152,188.5,1.3396226286061927,0.9172749391727494
0,749,1148,110.0,2.7142857142857144,0.9243697478991597
0,308,1140,173.5,1.1428571428571428,0.9665738161559888
0,455,1138,254.0,1.1176470588235294,0.9407407407407408
0,883,1129,206.0,1.000000117376127,0.944954128440367
0,57,1125,179.5,1.2307692307692308,0.9702702702702702
0,1102,1125,162.0,1.0,0.9529411764705882
0,831,1122,114.0,1.0,0.9156626506024096
0,387,1121,179.5,1.0714285714285714,0.9782016348773842
0,146,1107,183.5,1.1428571428571428,0.9708994708994709
0,432,1106,218.5,1.781249954886096,0.9438444924406048
0,399,1097,275.5,2.230769230769231,0.8503086419753086
0,468,1099,206.5,1.2,0.9649532710280374
0,97,1093,186.5,1.0,0.9638242894056848
0,161,1093,199.0,1.4583334046624108,0.9567307692307693
0,610,1089,190.0,1.2142857142857142,0.9669211195928753
0,456,1078,198.5,1.1333333333333333,0.9706601466992665
0,351,1069,199.5,1.5660378422355339,0.9522673031026253
0,784,1067,281.0,1.0555555555555556,0.9689655172413794
0,654,1064,171.0,1.1538461538461537,0.9855907780979827
0,194,1056,174.5,1.1428571428571428,0.953551912568306
0,621,1053,193.5,1.2857142857142858,0.9650872817955112
0,975,1041,181.0,1.1428571428571428,0.9602122015915119
0,930,1042,205.0,1.3571428571428572,0.9715639810426541
0,178,1031,202.5,1.5744680259557169,0.9529411764705882
0,258,1018,173.5,1.1428571428571428,0.9506849315068493
0,989,1011,220.0,1.482758555232581,0.9649122807017544
0,708,1009,202.5,1.0,0.9551886792452831
0,606,1000,187.0,1.1428571428571428,0.9765013054830287
0,1071,999,192.0,1.2142857142857142,0.9624060150375939
0,516,995,214.0,1.3333333333333333,0.936542669584245
0,1120,993,201.0,1.0666666666666667,0.9686746987951808
0,542,984,183.0,1.0666666666666667,0.953125
0,1148,974,237.0,1.125,0.977319587628866
0,948,970,187.5,1.0,0.97911227154047
0,358,964,169.5,1.4403670553369292,0.9442896935933147
0,54,959,177.0,1.0714285714285714,0.9698630136986301
0,874,957,189.5,1.2142857142857142,0.9643765903307888
0,745,957,207.0,1.4770641524761465,0.9495412844036697
0,211,956,176.0,1.1428571428571428,0.967032967032967
0,988,959,247.0,1.8571429289472168,0.9481765834932822
0,1109,955,208.0,1.2857142857142858,0.9651972157772621
0,1030,953,244.0,1.8150287230850228,0.9366602687140115
0,1186,942,200.5,1.0666666666666667,0.9780487804878049
0,615,926,135.5,1.1666666666666667,0.9344827586206896
0,187,925,186.0,1.1428571428571428,0.9738219895287958
0,87,925,172.0,1.0,0.9608938547486033
0,808,919,196.5,1.299999919078051,0.9538834951456311
0,658,890,199.0,1.1428571428571428,0.9851485148514851
0,424,888,173.5,1.0,0.9506849315068493
0,192,885,173.5,1.2307692307692308,0.9665738161559888
0,1195,879,125.5,1.7777777777777777,0.9766536964980544
0,672,873,283.5,2.0399999287850537,0.9014308426073132
0,996,865,181.0,1.4375001287182232,0.8227272727272728
0,353,850,188.0,1.0666666666666667,0.9665809768637532
0,369,833,194.5,1.3846153846153846,0.9848101265822785
0,1142,829,197.0,1.1333333333333333,0.9633251833740831
0,866,819,198.0,1.0,0.9658536585365853
0,148,817,179.0,1.2258064560509485,0.9623655913978495
0,734,811,189.0,1.2142857142857142,0.9545454545454546
0,464,802,187.5,1.2857142857142858,0.9566326530612245
0,53,801,97.0,1.0384615006068547,0.825531914893617
0,1160,787,184.0,1.1428571428571428,0.968421052631579
0,646,784,188.5,1.2142857142857142,0.952020202020202
0,201,782,187.5,1.0,0.9664948453608248
0,840,781,226.0,1.6923076923076923,0.9535864978902954
0,382,778,177.0,1.3076923076923077,0.959349593495935
0,931,767,183.5,1.1428571428571428,0.9734748010610079
0,849,745,203.5,1.2,0.9531615925058547
0,1064,740,221.0,1.6153846153846154,0.9608695652173913
0,362,727,167.5,1.0,0.9824046920821115
0,289,709,183.0,1.971631069327638,0.9384615384615385
0,527,701,185.0,1.1428571428571428,0.9685863874345549
0,1137,698,225.5,1.5625001124550404,0.9318181818181818
0,578,692,207.5,1.0,0.9718969555035128
0,58,693,201.5,1.5384615384615385,0.9504716981132075
0,512,689,186.0,1.0,0.9738219895287958
0,1163,679,206.5,1.2857142857142858,0.9649532710280374
0,331,650,169.5,1.0714285714285714,0.9685714285714285
0,1033,649,105.0,1.0833333333333333,0.8300395256916996
0,446,648,182.5,1.3846153846153846,0.9554973821989529
0,527,652,299.5,1.7708336291523725,0.9215384615384615
