frame,x,y,area,aspect_ratio,solidity
0,269,1185,149.0,1.0,0.946031746031746
0,59,1170,162.0,1.0,0.9759036144578314
0,744,1163,199.0,1.0909090686165424,0.9544364508393285
0,624,1142,113.0,1.1818181818181819,0.9377593360995851
0,277,1069,215.0,1.0625,0.9750566893424036
0,243,1065,174.0,1.1428571428571428,0.9586776859504132
0,584,1061,184.5,1.0666666666666667,0.9609375
0,688,1054,198.0,1.0,0.9635036496350365
0,266,1053,207.0,1.0909090686165424,0.9741176470588235
0,1047,1050,186.5,1.7402596846431566,0.9119804400977995
0,1074,1041,209.5,1.4285714285714286,0.9610091743119266
0,267,1032,253.5,1.7692307692307692,0.9620493358633776
0,1114,1030,216.5,1.1818181372330847,0.9643652561247216
0,407,1025,159.0,1.2307692307692308,0.9724770642201835
0,276,1013,222.0,1.6619718472864695,0.9652173913043478
0,846,999,172.5,1.0714285714285714,0.9745762711864406
0,7,992,164.5,1.2307692307692308,0.9536231884057971
0,730,992,171.0,1.1428571428571428,0.9553072625698324
0,466,982,166.5,1.7014923941736813,0.8649350649350649
0,229,973,171.0,1.0714285714285714,0.9661016949152542
0,1008,971,168.0,1.1428571428571428,0.9572649572649573
0,1046,962,165.5,1.2388059457178566,0.9511494252873564
0,670,958,209.0,1.2,0.9675925925925926
0,1080,947,203.0,1.4999998222932795,0.9598108747044918
0,773,940,99.0,1.4,0.8839285714285714
0,4,942,110.5,1.6666666666666667,0.9608695652173913
0,812,924,197.5,1.0625,0.9427207637231504
0,127,907,203.0,1.526315927706025,0.9508196721311475
0,652,903,195.5,1.2,0.9583333333333334
0,311,902,184.0,1.1304349251315389,0.9509043927648578
0,174,894,181.5,1.0,0.981081081081081
0,675,891,180.5,1.1499998921040677,0.9626666666666667
0,1100,887,171.0,1.0714285714285714,0.9827586206896551
0,459,888,185.5,1.0666666666666667,0.9636363636363636
0,301,884,178.0,1.0,0.964769647696477
0,709,880,164.5,1.0499999865130085,0.9762611275964391
0,927,876,179.0,1.0,0.9675675675675676
0,720,840,184.0,1.0294118034447217,0.9709762532981531
0,992,834,187.5,1.0666666666666667,0.9664948453608248
0,1190,832,184.0,1.2857142857142858,0.9411764705882353
0,964,815,173.0,1.1499998921040677,0.9351351351351351
0,956,782,188.5,1.2142857142857142,0.952020202020202
0,556,782,197.5,1.0800000268685768,0.9518072289156626
0,1173,779,176.0,1.0,0.9696969696969697
0,5,743,132.5,1.2727272727272727,0.9742647058823529
0,714,743,253.0,1.0,0.9693486590038314
0,912,731,169.0,1.1136363574054065,0.9548022598870056
0,770,724,191.5,1.1428571795564424,0.9671717171717171
0,104,717,134.5,1.1111112443159816,0.9149659863945578
0,440,715,167.0,1.0714285714285714,0.9766081871345029
0,783,704,203.5,1.0277776922152848,0.9553990610328639
0,711,686,184.0,1.0294118034447217,0.9658792650918635
0,1181,683,181.0,1.4444444610950509,0.9627659574468085
0,939,681,197.0,1.4736842852465,0.9471153846153846
0,860,675,186.5,1.095238006548127,0.9564102564102565
0,740,671,198.0,1.1333333333333333,0.9635036496350365
0,1097,668,175.0,1.000000064223774,0.9776536312849162
0,39,661,164.5,1.2307692307692308,0.9850299401197605
0,635,659,201.5,1.2777777813949809,0.9460093896713615
0,681,658,216.0,1.875000037487273,0.9473684210526315
0,8,627,170.5,1.1428571428571428,0.9419889502762431
0,497,604,181.0,1.0181818386424417,0.9627659574468085
0,353,583,131.5,1.0526317134437,0.9006849315068494
0,626,563,146.5,1.6363636363636365,0.9301587301587302
0,1174,507,190.5,1.0454544730037627,0.9645569620253165
0,1123,497,166.5,1.049999919078051,0.9794117647058823
0,316,496,165.0,1.2307692307692308,0.9734513274336283
0,9,466,125.0,1.0,0.9398496240601504
0,851,467,216.5,1.7525772821744288,0.8591269841269841
0,197,453,111.0,1.0,0.9652173913043478
0,885,447,169.0,1.315789641804625,0.9285714285714286
0,847,444,208.0,1.2666666666666666,0.9497716894977168
0,716,427,197.5,1.32894731596158,0.9564164648910412
0,1034,423,191.0,1.2142857142857142,0.9695431472081218
0,674,422,212.0,1.086956496243873,0.9443207126948775
0,791,416,159.5,1.0714285714285714,0.9465875370919882
0,956,414,179.5,1.1499998921040677,0.9728997289972899
0,569,397,171.0,1.2258064560509485,0.936986301369863
0,959,394,139.0,1.068376022318721,0.8200589970501475
0,27,385,146.5,1.209677456568978,0.9575163398692811
0,345,379,169.5,1.4249997719313974,0.9211956521739131
0,284,379,184.5,1.1999999460520339,0.9559585492227979
0,63,359,161.5,1.2307692307692308,0.9728915662650602
0,314,346,139.0,1.1122449161090364,0.9391891891891891
0,70,341,287.0,1.8999997572341525,0.9184
0,962,326,176.0,1.0714285714285714,0.9777777777777777
0,936,321,188.0,1.315789455004167,0.9868766404199475
0,388,317,171.5,2.0923913481774323,0.8345498783454988
0,1004,310,161.5,1.3076923076923077,0.95
0,950,311,196.5,1.1333333333333333,0.9656019656019657
0,850,314,195.0,1.1904762822244392,0.9605911330049262
0,669,292,158.0,1.2307692307692308,0.9604863221884499
0,825,278,168.0,1.0714285714285714,0.9795918367346939
0,270,274,173.0,1.0847456847702104,0.9558011049723757
0,386,256,167.0,1.099999973026017,0.962536023054755
0,465,242,244.0,1.0588235294117647,0.9663366336633663
0,485,238,188.5,1.0666666666666667,0.9568527918781726
0,1040,229,164.5,1.0888888695283054,0.9426934097421203
0,865,225,170.0,1.000000064223774,0.9742120343839542
0,793,222,153.5,1.1538461538461537,0.9623824451410659
0,451,217,173.5,1.3846153846153846,0.9559228650137741
0,581,193,133.5,1.0769230769230769,0.9535714285714286
0,801,184,195.0,1.0,0.9443099273607748
0,349,173,157.5,1.1578948563944,0.963302752293578
0,895,167,183.5,1.0476191026679968,0.976063829787234
0,1187,161,171.0,1.210526356885575,0.9661016949152542
0,1195,143,115.0,2.0,0.9623430962343096
0,718,140,218.5,1.238095384892436,0.9562363238512035
0,621,124,147.5,1.0769230769230769,0.9768211920529801
0,69,119,155.5,1.1538461538461537,0.9658385093167702
0,51,111,147.5,1.0714285355263917,0.9485530546623794
0,169,98,140.5,1.25,0.9756944444444444
0,930,52,169.0,1.0714285714285714,0.9657142857142857
0,356,47,161.0,1.2307692307692308,0.9554896142433235
0,948,46,189.5,1.0454544730037627,0.969309462915601
0,427,42,137.0,1.0769230769230769,0.958041958041958
0,187,37,138.0,1.235294140980955,0.9484536082474226
0,790,38,150.0,1.25,0.967741935483871
0,210,28,178.5,1.1499998921040677,0.9648648648648649
0,470,24,118.0,1.4117646107985273,0.9111969111969112
0,758,8,106.5,1.0625000737569923,0.9508928571428571
1,675,1195,109.5,1.3,0.9820627802690582
1,60,1190,125.0,1.2727272727272727,0.9652509652509652
1,278,1171,116.0,1.1818181818181819,0.9586776859504132
1,743,1163,198.5,1.2,0.9452380952380952
1,628,1161,161.5,1.2307692307692308,0.936231884057971
